file_name,file_path,date,start_time,max_hr,rr_count_raw,is_valid,reason,week,target_zone_low,target_zone_high,num_peaks_detected,score,max_score,cleaned_rr_count,removed_rr_count,corrected_missed_beats
HRV_20240613_1100.hrm,/content/hiit_project/data/raw/files/package_for_candidate/sample_data/HRV_20240613_1100.hrm,20240613,11:00:00.0,165,1940,True,valid,10.0,148.5,156.75,5.0,4.0,5.0,1939.0,4.0,3.0
HRV_20240624_1145.hrm,/content/hiit_project/data/raw/files/package_for_candidate/sample_data/HRV_20240624_1145.hrm,20240624,11:45:00.0,165,1846,True,valid,12.0,148.5,156.75,5.0,2.0,5.0,1846.0,0.0,0.0
HRV_20240411_0815.hrm,/content/hiit_project/data/raw/files/package_for_candidate/sample_data/HRV_20240411_0815.hrm,20240411,08:15:00.0,165,1854,True,valid,1.0,132.0,140.25,5.0,2.0,5.0,1854.0,0.0,0.0
HRV_20240509_1130.hrm,/content/hiit_project/data/raw/files/package_for_candidate/sample_data/HRV_20240509_1130.hrm,20240509,11:30:00.0,165,1759,True,valid,5.0,140.25,148.5,5.0,3.0,5.0,1757.0,2.0,0.0
HRV_20240411_0912.hrm,/content/hiit_project/data/raw/files/package_for_candidate/sample_data/HRV_20240411_0912.hrm,20240411,09:12:00.0,165,0,False,invalid_no_rr_data,,,,,,,,,
HRV_20240425_0830.hrm,/content/hiit_project/data/raw/files/package_for_candidate/sample_data/HRV_20240425_0830.hrm,20240425,08:30:00.0,165,1929,True,valid,3.0,140.25,148.5,5.0,3.0,5.0,1929.0,0.0,0.0
HRV_20240527_1115.hrm,/content/hiit_project/data/raw/files/package_for_candidate/sample_data/HRV_20240527_1115.hrm,20240527,11:15:00.0,165,1866,True,valid,8.0,148.5,156.75,5.0,3.0,5.0,1866.0,0.0,0.0
HRV_20240617_1145.hrm,/content/hiit_project/data/raw/files/package_for_candidate/sample_data/HRV_20240617_1145.hrm,20240617,11:45:00.0,165,1816,True,valid,11.0,148.5,156.75,5.0,3.0,5.0,1816.0,0.0,0.0
HRV_20240603_1030.hrm,/content/hiit_project/data/raw/files/package_for_candidate/sample_data/HRV_20240603_1030.hrm,20240603,10:30:00.0,165,2062,True,valid,9.0,148.5,156.75,5.0,2.0,5.0,2059.0,3.0,0.0
HRV_20240610_0845.hrm,/content/hiit_project/data/raw/files/package_for_candidate/sample_data/HRV_20240610_0845.hrm,20240610,08:45:00.0,165,1822,True,valid,10.0,148.5,156.75,5.0,5.0,5.0,1824.0,0.0,2.0
HRV_20240523_1030.hrm,/content/hiit_project/data/raw/files/package_for_candidate/sample_data/HRV_20240523_1030.hrm,20240523,10:30:00.0,165,2037,True,valid,7.0,148.5,156.75,5.0,3.0,5.0,2037.0,0.0,0.0
HRV_20240613_0847.hrm,/content/hiit_project/data/raw/files/package_for_candidate/sample_data/HRV_20240613_0847.hrm,20240613,08:47:00.0,165,0,False,invalid_no_rr_data,,,,,,,,,
HRV_20240429_0845.hrm,/content/hiit_project/data/raw/files/package_for_candidate/sample_data/HRV_20240429_0845.hrm,20240429,08:45:00.0,165,2048,True,valid,4.0,140.25,148.5,5.0,3.0,5.0,2048.0,0.0,0.0
